Date,Name,Game,TYPE,BUY-IN,PRIZE,PLAYERS,STATUS
0,,Jun 30 19:00,"₮10 Sunday PLO, ₮250 GTD",,₮ 10.00,₮ 250.00,0
,Jun 30 19:00,"₮50 BIG FIFTY, ₮8000 GTD",,₮ 50.00,"₮ 8,000.00",0,
Jun 30 19:02,"₮200 Sunday PLO, ₮10,000 GTD",,₮ 200.00,"₮ 10,000.00",0,,Jun 30 19:02
"₮5000 NEMESIS, ₮200,000 GTD",,"₮ 5,000.00","₮ 200,000.00",0,,Jun 30 19:02,"₮2000 VULTURE PLO, ₮50,000 GTD"
,"₮ 2,000.00","₮ 50,000.00",0,,Jun 30 19:02,"₮500 SUNDAY MAIN EVENT, ₮80,000 GTD",
₮ 500.00,"₮ 80,000.00",0,,Jun 30 20:00,"₮200 Sunday Special, ₮40,000 GTD",,₮ 200.00
"₮ 40,000.00",0,,Jun 30 20:00,"₮20 Sunday Special Mini, ₮4000 GTD",,₮ 20.00,"₮ 4,000.00"
0,,Jun 30 20:00,"₮2 Sunday Special Micro, ₮250 GTD",,₮ 2.00,₮ 250.00,2
,Jun 30 20:30,"₮800 Sunday Peak, ₮30,000 GTD",,₮ 800.00,"₮ 30,000.00",0,
Jun 30 21:30,"₮2 Sunday Sonic BIG ADD-ON, ₮150 GTD",,₮ 2.00,₮ 150.00,0,,Jun 30 21:30
"₮20 Sunday Sonic BIG ADD-ON, ₮1,000 GTD",,₮ 20.00,"₮ 1,000.00",0,,Jun 30 21:30,"₮0.5 Sunday Sonic BIG ADD-ON, ₮50 GTD"
,₮ 0.50,₮ 50.00,1,,Jul 28 20:00,"₮500 Monster Stack Main Event #50, ₮50,000 GTD",
